  0.000000     0.000000
  0.000000     0.020000
  0.000000     0.040000
  0.000000     0.060000
  0.000000     0.080000
  0.000000     0.100000
  0.020000     0.000000
  0.020000     0.020000
  0.020000     0.040000
  0.020000     0.060000
  0.020000     0.080000
  0.020000     0.100000
  0.040000     0.000000
  0.040000     0.020000
  0.040000     0.040000
  0.040000     0.060000
  0.040000     0.080000
  0.040000     0.100000
  0.060000     0.000000
  0.060000     0.020000
  0.060000     0.040000
  0.060000     0.060000
  0.060000     0.080000
  0.060000     0.100000
  0.080000     0.000000
  0.080000     0.020000
  0.080000     0.040000
  0.080000     0.060000
  0.080000     0.080000
  0.100000     0.000000
  0.100000     0.020000
  0.100000     0.040000
  0.100000     0.060000
  0.100000     0.080000
/
  1  7  8     0.0000
  1  8  2     0.0000
  2  8  9     0.0000
  2  9  3     0.0000
  3  9  10    0.0000
  3  10 4     0.0000
  4  10 11    0.0000
  4  11 5     0.0000
  5  11 12    0.0000
  5  12 6     0.0000
  7  13 14    0.0000
  7  14 8     0.0000
  8  14 15    0.0000
  8  15 9     0.0000
  9  15 16    0.0000
  9  16 10    0.0000
  10 16 17    0.0000
  10 17 11    0.0000
  11 17 18    0.0000
  11 18 12    0.0000
  13 19 20    0.0000
  13 20 14    0.0000
  14 20 21    0.0000
  14 21 15    0.0000
  15 21 22    0.0000
  15 22 16    0.0000
  16 22 23    0.0000
  16 23 17    0.0000
  17 23 24    0.0000
  17 24 18    0.0000
  19 25 26    0.0000
  19 26 20    0.0000
  20 26 27    0.0000
  20 27 21    0.0000
  21 27 28    0.0000
  21 28 22    0.0000
  22 28 29    0.0000
  22 29 23    0.0000
  25 30 31    0.0000
  25 31 26    0.0000
  26 31 32    0.0000
  26 32 27    0.0000
  27 32 33    0.0000
  27 33 28    0.0000
  28 33 34    0.0000
  28 34 29    0.0000
/
  1     0.000000
  2     0.000000
  3     0.000000
  4     0.000000
  5     0.000000
  6     0.000000
  7     0.000000
  13    0.000000
  19    0.000000
  23    15.000000
  24    15.000000
  25    0.000000
  29    15.000000
  30    0.000000
  34    15.000000
/
